Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0,000746	-2,21741	0,000746	-1,63524	0,000746	-0,0614785
0,000748	-2,21999	0,000748	-1,63508	0,000748	-0,0618005
0,00075	-2,21725	0,00075	-1,63524	0,00075	-0,0627665
0,000752	-2,21918	0,000752	-1,63556	0,000752	-0,0642155
0,000754	-2,22192	0,000754	-1,63524	0,000754	-0,0595465
0,000756	-2,21725	0,000756	-1,6354	0,000756	-0,0609955
0,000758	-2,22128	0,000758	-1,63588	0,000758	-0,0640545
0,00076	-2,21967	0,00076	-1,63604	0,00076	-0,0624445
0,000762	-2,21886	0,000762	-1,6354	0,000762	-0,0619615
0,000764	-2,21773	0,000764	-1,63572	0,000764	-0,0632495
0,000766	-2,21709	0,000766	-1,63572	0,000766	-0,0632495
0,000768	-2,21773	0,000768	-1,63588	0,000768	-0,0624445
0,00077	-2,21548	0,00077	-1,63556	0,00077	-0,0611565
0,000772	-2,21822	0,000772	-1,63572	0,000772	-0,0643765
0,000774	-2,21709	0,000774	-1,63604	0,000774	-0,0630885
0,000776	-2,21934	0,000776	-1,63637	0,000776	-0,0600295
0,000778	-2,21967	0,000778	-1,63572	0,000778	-0,0626055
0,00078	-2,21902	0,00078	-1,63621	0,00078	-0,0601905
0,000782	-2,21741	0,000782	-1,63604	0,000782	-0,0634105
0,000784	-2,21564	0,000784	-1,63604	0,000784	-0,0603515
0,000786	-2,22095	0,000786	-1,63604	0,000786	-0,0608345
0,000788	-2,21983	0,000788	-1,63621	0,000788	-0,0627665
0,00079	-2,21773	0,00079	-1,63621	0,00079	-0,0609955
